Last login: Mon Dec  5 21:27:08 on ttys008
kaigrosshanten@MacBook-Pro-10 ~ % cd PycharmProjects/distributed-smart-grid-ids/ids/deployment/
kaigrosshanten@MacBook-Pro-10 deployment % docker compose up neighborhood_monitor_2
[+] Running 1/0
 ⠿ Container mosaik_ids_nm_2  Created                                                                                                                                                                                                        0.0s
Attaching to mosaik_ids_nm_2
mosaik_ids_nm_2  | Last cycle took 0.006179
mosaik_ids_nm_2  | Last cycle took 0.004538
mosaik_ids_nm_2  | Last cycle took 0.006796
mosaik_ids_nm_2  | Last cycle took 0.007502
mosaik_ids_nm_2  | Last cycle took 0.007202
mosaik_ids_nm_2  | Last cycle took 0.005597
mosaik_ids_nm_2  | Last cycle took 0.007383
mosaik_ids_nm_2  | Last cycle took 0.005907
mosaik_ids_nm_2  | Last cycle took 0.007296
mosaik_ids_nm_2  | Last cycle took 0.006382
mosaik_ids_nm_2  | Last cycle took 0.007162
mosaik_ids_nm_2  | Last cycle took 0.006769
mosaik_ids_nm_2  | Last cycle took 0.007968
mosaik_ids_nm_2  | Last cycle took 0.005619
mosaik_ids_nm_2  | Last cycle took 0.009115
mosaik_ids_nm_2  | Last cycle took 0.004794
mosaik_ids_nm_2  | Last cycle took 0.006426
mosaik_ids_nm_2  | Last cycle took 0.004958
mosaik_ids_nm_2  | Last cycle took 0.007940
mosaik_ids_nm_2  | Last cycle took 0.005425
mosaik_ids_nm_2  | Last cycle took 0.006460
mosaik_ids_nm_2  | Last cycle took 0.004454
mosaik_ids_nm_2  | Last cycle took 0.007199
mosaik_ids_nm_2  | Last cycle took 0.005071
mosaik_ids_nm_2  | Last cycle took 0.007963
mosaik_ids_nm_2  | Last cycle took 0.006053
mosaik_ids_nm_2  | Last cycle took 0.005086
mosaik_ids_nm_2  | Last cycle took 0.005464
mosaik_ids_nm_2  | Last cycle took 0.006304
mosaik_ids_nm_2  | Last cycle took 0.005246
mosaik_ids_nm_2  | Last cycle took 0.007451
mosaik_ids_nm_2  | Last cycle took 0.006148
mosaik_ids_nm_2  | Last cycle took 0.004823
mosaik_ids_nm_2  | Last cycle took 0.004736
mosaik_ids_nm_2  | Last cycle took 0.005368
mosaik_ids_nm_2  | Last cycle took 0.004462
mosaik_ids_nm_2  | Last cycle took 0.004103
mosaik_ids_nm_2  | Last cycle took 0.004149
mosaik_ids_nm_2  | Last cycle took 0.006023
mosaik_ids_nm_2  | Last cycle took 0.004607
mosaik_ids_nm_2  | Last cycle took 0.008496
mosaik_ids_nm_2  | Last cycle took 0.004494
mosaik_ids_nm_2  | Last cycle took 0.008085
mosaik_ids_nm_2  | Last cycle took 0.005302
mosaik_ids_nm_2  | Last cycle took 0.008151
mosaik_ids_nm_2  | Last cycle took 0.005336
mosaik_ids_nm_2  | Last cycle took 0.007758
mosaik_ids_nm_2  | Last cycle took 0.006237
mosaik_ids_nm_2  | Last cycle took 0.007175
mosaik_ids_nm_2  | Last cycle took 0.005244
mosaik_ids_nm_2  | Last cycle took 0.007160
mosaik_ids_nm_2  | Last cycle took 0.005253
mosaik_ids_nm_2  | Last cycle took 0.004039
mosaik_ids_nm_2  | Last cycle took 0.004822
mosaik_ids_nm_2  | Last cycle took 0.008325
mosaik_ids_nm_2  | Last cycle took 0.005274
mosaik_ids_nm_2  | Last cycle took 0.005256
mosaik_ids_nm_2  | Last cycle took 0.004245
mosaik_ids_nm_2  | Last cycle took 0.009604
mosaik_ids_nm_2  | Last cycle took 0.005554
mosaik_ids_nm_2  | Last cycle took 0.006808
mosaik_ids_nm_2  | Last cycle took 0.005019
mosaik_ids_nm_2  | Last cycle took 0.007401
mosaik_ids_nm_2  | Last cycle took 0.006589
mosaik_ids_nm_2  | Last cycle took 0.007152
mosaik_ids_nm_2  | Last cycle took 0.005116
mosaik_ids_nm_2  | Last cycle took 0.007229
mosaik_ids_nm_2  | Last cycle took 0.005130
mosaik_ids_nm_2  | Last cycle took 0.008302
mosaik_ids_nm_2  | Last cycle took 0.005378
mosaik_ids_nm_2  | Last cycle took 0.006939
mosaik_ids_nm_2  | Last cycle took 0.005038
mosaik_ids_nm_2  | Last cycle took 0.006405
mosaik_ids_nm_2  | Last cycle took 0.005268
mosaik_ids_nm_2  | Last cycle took 0.007272
mosaik_ids_nm_2  | Last cycle took 0.004727
mosaik_ids_nm_2  | Last cycle took 0.005005
mosaik_ids_nm_2  | Last cycle took 0.009065
mosaik_ids_nm_2  | Last cycle took 0.005131
mosaik_ids_nm_2  | Last cycle took 0.004737
mosaik_ids_nm_2  | Last cycle took 0.005472
mosaik_ids_nm_2  | Last cycle took 0.004851
mosaik_ids_nm_2  | Last cycle took 0.005901
mosaik_ids_nm_2  | Last cycle took 0.004831
mosaik_ids_nm_2  | Last cycle took 0.005422
mosaik_ids_nm_2  | Last cycle took 0.004496
mosaik_ids_nm_2  | Last cycle took 0.008096
mosaik_ids_nm_2  | Last cycle took 0.005506
mosaik_ids_nm_2  | Last cycle took 0.007453
mosaik_ids_nm_2  | Last cycle took 0.005268
mosaik_ids_nm_2  | Last cycle took 0.008232
mosaik_ids_nm_2  | Last cycle took 0.005029
mosaik_ids_nm_2  | Last cycle took 0.008248
mosaik_ids_nm_2  | Last cycle took 0.005374
mosaik_ids_nm_2  | Last cycle took 0.008072
mosaik_ids_nm_2  | Last cycle took 0.005792
mosaik_ids_nm_2  | Last cycle took 0.007595
mosaik_ids_nm_2  | Last cycle took 0.006456
mosaik_ids_nm_2  | Last cycle took 0.007294
mosaik_ids_nm_2  | Last cycle took 0.006750
mosaik_ids_nm_2  | Last cycle took 0.007910
mosaik_ids_nm_2  | Last cycle took 0.006162
mosaik_ids_nm_2  | Last cycle took 0.006841
mosaik_ids_nm_2  | Last cycle took 0.004583
mosaik_ids_nm_2  | Last cycle took 0.007453
mosaik_ids_nm_2  | Last cycle took 0.004210
mosaik_ids_nm_2  | Last cycle took 0.008855
mosaik_ids_nm_2  | Last cycle took 0.005836
mosaik_ids_nm_2  | Last cycle took 0.004096
mosaik_ids_nm_2  | Last cycle took 0.004193
mosaik_ids_nm_2  | Last cycle took 0.006865
mosaik_ids_nm_2  | Last cycle took 0.005565
mosaik_ids_nm_2  | Last cycle took 0.007204
mosaik_ids_nm_2  | Last cycle took 0.005715
mosaik_ids_nm_2  | Last cycle took 0.007365
mosaik_ids_nm_2  | Last cycle took 0.005966
mosaik_ids_nm_2  | Last cycle took 0.006954
mosaik_ids_nm_2  | Last cycle took 0.005920
mosaik_ids_nm_2  | Last cycle took 0.007301
mosaik_ids_nm_2  | Last cycle took 0.005648
mosaik_ids_nm_2  | Last cycle took 0.006431
mosaik_ids_nm_2  | Last cycle took 0.005002
mosaik_ids_nm_2  | Last cycle took 0.007527
mosaik_ids_nm_2  | Last cycle took 0.005657
mosaik_ids_nm_2  | Last cycle took 0.005662
mosaik_ids_nm_2  | Last cycle took 0.007178
mosaik_ids_nm_2  | Last cycle took 0.007316
mosaik_ids_nm_2  | Last cycle took 0.005851
mosaik_ids_nm_2  | Last cycle took 0.005450
mosaik_ids_nm_2  | Last cycle took 0.005085
mosaik_ids_nm_2  | Last cycle took 0.007942
mosaik_ids_nm_2  | Last cycle took 0.005360
mosaik_ids_nm_2  | Last cycle took 0.005304
mosaik_ids_nm_2  | Last cycle took 0.004518
mosaik_ids_nm_2  | Last cycle took 0.006120
mosaik_ids_nm_2  | Last cycle took 0.004248
mosaik_ids_nm_2  | Last cycle took 0.004170
mosaik_ids_nm_2  | Last cycle took 0.009082
mosaik_ids_nm_2  | Last cycle took 0.005501
mosaik_ids_nm_2  | Last cycle took 0.007457
mosaik_ids_nm_2  | Last cycle took 0.005063
mosaik_ids_nm_2  | Last cycle took 0.007424
mosaik_ids_nm_2  | Last cycle took 0.005360
mosaik_ids_nm_2  | Last cycle took 0.006404
mosaik_ids_nm_2  | Last cycle took 0.005049
mosaik_ids_nm_2  | Last cycle took 0.007055
mosaik_ids_nm_2  | Last cycle took 0.004845
mosaik_ids_nm_2  | Last cycle took 0.007293
mosaik_ids_nm_2  | Last cycle took 0.007248
mosaik_ids_nm_2  | Last cycle took 0.007104
mosaik_ids_nm_2  | Last cycle took 0.005726
mosaik_ids_nm_2  | Last cycle took 0.007166
mosaik_ids_nm_2  | Last cycle took 0.005795
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.47 (!= 10499.35)
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_31 measured by sensor_11 : 10499.47 (!= 10499.35)
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.47 (!= 10499.35)
mosaik_ids_nm_2  | Last cycle took 0.009588
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_40 measured by sensor_12 : 10499.47 (!= 10499.35)
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_31 measured by sensor_11 : 10499.47 (!= 10499.35)
mosaik_ids_nm_2  | Requirement 4 (neighborhood) violated! Voltage on line branch_39 measured by sensor_10 : 10499.47 (!= 10499.35)
mosaik_ids_nm_2  | Last cycle took 0.006809
mosaik_ids_nm_2  | Last cycle took 0.008049
mosaik_ids_nm_2  | Last cycle took 0.006259
mosaik_ids_nm_2  | Last cycle took 0.008054
mosaik_ids_nm_2  | Last cycle took 0.005726
mosaik_ids_nm_2  | Last cycle took 0.007555
